ID,ISBN,URL,Автор,В наличии,"Вес, г",Вид бумаги,Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
378966,978-5-699-75467-0,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/sovremennaya-proza/378966-lyubov-k-trem-tsukerbrinam,Виктор Олегович Пелевин,False,,,,,,2014,,Эксмо,https://www.respublica.ru/uploads/00/00/00/1u/ji/large_8893e281eaba6733.jpg,,Книги; Художественная литература; Современная проза,448,,Любовь к трем цукербринам,,,Твердая,"О головокружительной, завораживающей и роковой страсти к трем цукербринам.«Любовь к трем цукербринам» заставляет вспомнить лучшие образцы творчества Виктора Пелевина. Этой книгой он снова бьет по самым чувствительным, болезненным точкам представителя эры потребления. Каждый год, оставаясь в тени, придерживаясь затворнического образа жизни, автор, будто из бункера, оглушает читателей новой неожиданной трактовкой бытия, в которой сплетается древний миф и уловки креативщиков, реальность и виртуальность. Что есть Человек? Часть целевой аудитории или личность? Что есть мир? Рекламный ролик в планшете или великое живое чудо? Что есть мысль? Пинг-понговый мячик, которым играют маркетологи или проявление свободной воли? Каков он, герой Generation П, в наши дни? Где он? Вы ждете ответы на эти вопросы? Вы их получите.",,,https://www.respublica.ru/items/249626/download_preview_pdf,Отечественные,,,Единственный и неповторимый. виктор пелевин,Россия,,,,13 х 20,640,,,,,Русский
379014,978-5-17-086776-9,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/379014-noch-v-lissabone,Эрих Мария Ремарк,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1u/g9/large_a6490d600ca4734a.jpg,,Книги; Художественная литература; Классическая литература,320,,Ночь в Лиссабоне,,,Мягкая,"""Ночь в Лиссабоне"" (1962) - трагический, проникновенный роман Эриха Марии Ремарка о Второй мировой войне.Это не только одна ночь в Лиссабоне, в которую и уместился весь этот рассказ. Это не просто случайная встреча двух отчаявшихся людей, один из которых тщетно пытается найти два билета на пароход до Америки, а другой - ищет собеседника, чтобы излить ему душу. Это настоящая исповедь отважного, смелого человека, на долю которого выпали немыслимые по тяжести испытания. Это история целого поколения людей, столкнувшихся с войной, попавших в тиски фашизма. Это еще и история любви, перед которой отступает даже смерть.",,,,,,,,Россия,,,,11 х 18,150,,,,,Русский
379017,978-5-17-081747-4,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/379017-talisman,Стивен Кинг,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1u/ft/large_8fc262f996fdb74e.jpg,,Книги; Художественная литература; Фантастика и фэнтези,896,,Талисман,,Мистика,Твердая,"...Вновь и вновь двенадцатилетний Джек Сойер и его мать в спешке переезжают из одного города в другой, бегут, сменяя отели и стараясь не оставлять следов. От кого они прячутся? Кто — или что — их преследует? Этого Джек не знает, но он абсолютно уверен: его матери грозит смертельная опасность и только он может спасти ее. Но для этого ему придется переступить черту — попасть в другую реальность, где обитают силы Тьмы, уже готовые нанести удар... ТАЛИСМАН — одно из самых ярких произведений Стивена Кинга — в новом переводе и впервые без сокращений!Читайте ""Черный дом"" — продолжение романа ТАЛИСМАН.",,,,Зарубежные,,,Темная башня,Россия,,,,13 х 20,470,,,,,Русский
379077,978-5-17-082524-0,https://www.respublica.ru/knigi/gumanitarnye-i-obschestvennye-nauki/istoriya/379077-akunin-b-istoriya-rossiyskogo-gosudarstva-chast-azii-ordynskiy-period,Борис Акунин,False,1064,,,0+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1u/g0/large_e53207e255f25a3a.jpg,,Книги; Гуманитарные и общественные науки; История,400,,История Российского Государства. Часть Азии. Ордынский период,,Отечественная история,Твердая,"«В биографии всякой страны есть главы красивые, ласкающие национальное самолюбие, и некрасивые, которые хочется забыть или мифологизировать. Эпоха монгольского владычества в русской истории – самая неприглядная. Это тяжелая травма исторической памяти: времена унижения, распада, потери собственной государственности. Писать и читать о событиях XIII-XV веков – занятие поначалу весьма депрессивное. Однако постепенно настроение меняется. Процесс зарубцевания ран, возрождения волнует и завораживает. В нем есть нечто от русской сказки: Русь окропили мертвой водой, затем живой – и она воскресла, да стала сильнее прежнего. Татаро-монгольское завоевание принесло много бед и страданий, но в то же время оно продемонстрировало жизнеспособность страны, которая выдержала ужасное испытание и сумела создать новую государственность вместо прежней, погибшей».Представляем вниманию читателей вторую книгу проекта Бориса Акунина «История Российского государства», в которой охвачены события от 1223 до 1462 года.",,,https://www.respublica.ru/items/249737/download_preview_pdf,,,,История Российского Государства,Россия,,,,"23,5 x 16,2",900,1,,,,Русский
379213,978-5-389-08526-8,https://www.respublica.ru/detyam/detskie-knigi/hudozhestvennaya-literatura/379213-detstvo-otrochestvo-yunost,Лев Николаевич Толстой,False,,,12+,,,2014,Классика,Азбука,https://www.respublica.ru/uploads/00/00/00/2l/z6/large_fa8f9ce9dd80f4d8.jpg,,Детям; Детские книги; Художественная литература,448,,Детство. Отрочество. Юность,,,Твердая,"Повесть ДЕТСТВО, впервые опубликованная в 1852 году в журнале ""Современник"", была литературным дебютом Л.Н.Толстого. Дебют оказался удачным и сразу принес автору признание. Опираясь на собственные воспоминания и жизненный опыт, Толстой, однако, писал не автобиографию и не мемуары: он пытался раскрыть универсальные свойства человеческой души, но для этого нужно было заглянуть в себя. Впоследствии повесть ДЕТСТВО вместе с повестями ОТРОЧЕСТВО и ЮНОСТЬ составила трилогию, из которой берут начало замыслы будущих великих книг.",,,,,,,,,,,,13 х 20,190,,,,,Русский
379231,978-5-00057-131-6,https://www.respublica.ru/hobbi-i-tvorchestvo/detskoe-tvorchestvo/zadaniya-i-zagadki/379231-kumon-rabochaya-tetrad-labirinty-vokrug-sveta,Тору Кумон,True,,,5+,,,2015,,Манн Иванов и Фербер,https://www.respublica.ru/uploads/01/00/00/32/95/large_d0abf2028b9cff6a.jpg,,Хобби и творчество; Детское творчество; Задания и загадки,80,Бумага,KUMON. Рабочая тетрадь. Лабиринты. Вокруг света,Развитие мышления,,,"Это рабочая тетрадь для развития мелкой моторики и подготовки руки к письму. В ней собраны сложные лабиринты с узкими ходами для детей, которые уже уверенно проводят линии. Выполняя задания, ваш ребёнок будет совершенствовать элементарные навыки письма. Кроме того, тетрадь познакомит его с самыми известными достопримечательностями мира и странами, в которых они находятся. Лабиринты учат ребёнка концентрировать своё внимание, осмысливать то, что он видит, и затем действовать в соответствии с тем, что понял. Для того чтобы найти выход из лабиринта, ребёнку придётся опробовать разные пути. В результате он учится рассуждать, анализировать и творчески мыслить. Все эти навыки необходимы для его будущего обучения.Что такое KUMON?KUMON - это крупнейший международный центр дополнительного образования. Сегодня по программам KUMON обучаются в 47 странах более 4 млн детей и подростков в возрасте от 2 до 17 лет. Рабочие тетради KUMON для дошкольников помогут вашему ребенку приобрести навыки письма, счета, а также научат его работать с ножницами и клеем.Задания, разработанные по методике KUMON:• Тренируют внимание и усидчивость.• Воспитывают самодисциплину и привычку к самостоятельным занятиям.• Помогают ребенку почувствовать уверенность в своих силах.Метод KUMON основан на многократном выполнении однотипных заданий, которые, постепенно усложняясь, позволяют ребенку без труда освоить и закрепить приобретенные навыки. Двигаясь вперед небольшими шажками, ваш ребенок, несомненно, добьется успеха в освоении предлагаемого учебного материала.",,Унисекс,,,14 х 21,,Рабочая тетрадь KUMON,,,Головоломки,,,530,,,,,Русский
379355,978-5-17-086726-4,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/379355-zelyonaya-milya,Стивен Кинг,True,270,,,12+,,2015,,АСТ,https://www.respublica.ru/uploads/01/00/00/1v/tp/large_44366b3dd1bbcf48.jpg,,Книги; Художественная литература; Фантастика и фэнтези,448,,Зелёная миля,,Мистика,Мягкая,"Роман-событие, ставший лауреатом премии Брэма Стокера и вдохновивший Фрэнка Дарабонта на создание культового фильма, в котором Том Хэнкс сыграл, возможно, свою лучшую роль.…Стивен Кинг приглашает читателей в жуткий мир тюремного блока смертников, откуда уходят, чтобы не вернуться, приоткрывает дверь последнего пристанища тех, кто преступил закон и теперь отсчитывает последние часы...До предела обнажены нервы, накалены страсти и обострены чувства. Уже ничего нельзя исправить — последняя черта совсем близко. Но еще можно понять и посочувствовать тем, кому предстоит отправиться по зловещей Зеленой миле в никуда…",,,https://www.respublica.ru/items/250015/download_preview_pdf,Зарубежные,,,Эксклюзивная классика,Россия,,,,11 х 18,170,200,,,,Русский
379370,978-5-17-083801-1,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/detektivy/379370-detskaya-kniga-dlya-devochek,Борис Акунин,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/4c/fh/large_ded07538999d24a8.jpg,,Книги; Художественная литература; Детективы,512,,Детская книга для девочек,,,Мягкая,"У Ангелины Фандориной не было друзей. Да и зачем они, когда у тебя лучший в мире брат? Но Эраста, по-домашнему Ластика, переводят в математический лицей, и Геля остается одна-одинешенька. Ее спасают престранное знакомство и ошеломительная новость: только она, обычная московская шестиклассница, может спасти мир! Но для этого ей предстоит переместиться в прошлое, причем - чужое!.. Невероятное продолжение ""Детской книги"", написанное Глорией Му по сценарию Бориса Акунина!",,,https://www.respublica.ru/items/250030/download_preview_pdf,,,,Приключения магистра,Россия,,,,12 х 16,190,,,,,Русский
379907,978-5-17-075963-7,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/379907-poslednyaya-ostanovka,Эрих Мария Ремарк,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1u/q6/large_60d822fa418f0911.jpg,,Книги; Художественная литература; Классическая литература,320,,Последняя остановка,,,Твердая,"«Последняя остановка» — единственная пьеса, написанная Ремарком. Благодаря напряженному и увлекательному сюжету, пьеса была положена в основу нескольких успешных телепостановок и до сих пор не сходит с подмосток Германии.Сценарий «Последний акт» — яростная отповедь нацистскому режиму. Ремарк не щадит простых немцев, отговаривавшихся незнанием того, что происходило в их стране в реальности, или исполнением приказов. Приговор его прост и беспощаден: виновны все — и те, кто действовал, и те, кто молчал.",,,,,,,,Россия,,,,13 х 21,110,,,,,Русский
379910,978-5-17-087157-5,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/379910-synovya-anansi,Нил Гейман,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1u/q9/large_b364f9173c4d0a38.jpg,,Книги; Художественная литература; Фантастика и фэнтези,416,,Сыновья Ананси,,Фэнтези,Твердая,"Толстяк Чарли Нанси, скромный житель Лондона, ведет приготовления к свадьбе, когда узнает о смерти своего горе-папаши. Вечно ставивший сына в неловкое положение, тот и умер словно в насмешку: флиртуя с девушками в караоке-баре. С этого момента жизнь Толстяка Чарли начинает рушиться. Чтобы вновь обрести себя, ему придется обратиться за помощью к ведьмам, отправиться на край света, потерять невесту и… спеть?",,,https://www.respublica.ru/items/250571/download_preview_pdf,Зарубежные,,,Миры нила геймана,Россия,,,,12 х 18,290,,,,,Русский
379946,978-5-389-08684-5,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/379946-tri-chasa-mezhdu-reysami,Фрэнсис Скотт Фицджеральд,False,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/01/00/00/1u/px/large_441c6a538c0b297c.jpg,,Книги; Художественная литература; Классическая литература,368,,Три часа между рейсами,,,Мягкая,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — «века джаза», стоит особняком в современной американской классике. Хемингуэй писал о нем: «Его талант был таким естественным, как узор из пыльцы на крыльях бабочки». Его романы «Великий Гэтсби» и «Ночь нежна» повлияли на формирование новой мировой литературной традиции XX столетия. Однако Фицджеральд также известен как автор блестящих рассказов, из которых на русский язык переводилась лишь небольшая часть (наиболее классические из них представлены в сборнике «Загадочная история Бенджамина Баттона»). Книга «Три часа между рейсами» — уже четвертая из нескольких запланированных к изданию, после «Новых мелодий печальных оркестров», «Издержек хорошего воспита ния» и «Успешного покорения мира», — призвана исправить это досадное упущение. Итак, вашему вниманию предлагаются тридцать пять рассказов зрелого Фицджеральда — полное собрание рассказов, опубликованных в последние пять лет его жизни в прославленном журнале «Эсквайр».",,,,Зарубежные,,,,Россия,,,,11 х 18,120,,,,,Русский
379947,978-5-389-08675-3,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/379947-vzglyani-na-arlekinov,Владимир Владимирович Набоков,True,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/00/00/00/1u/py/large_10c94f6e20731625.jpg,,Книги; Художественная литература; Классическая литература,352,,Взгляни на арлекинов!,,,Мягкая,"В своем последнем завершенном романе «Взгляни на арлекинов!» (1974) великий художник обращается к теме таинственного влияния любви на искусство. С небывалым азартом и остроумием в этих «зеркальных мемуарах» Набоков совершает то, на что еще не отваживался ни один писатель: превращает собственную биографию в вымысел, бурлеск, арлекинаду, заставляя своего героя Вадима Вадимовича N. проделать нелегкий путь длиною в жизнь, что-бы на вершине ее обрести истинную любовь, реальность, искусство. Издание снабжено послесловием и подробными примечаниями переводчика, а также впервые публикуемыми по-русски письмами Веры и Владимира Набоковых об этом романе.",,,,Отечественные,,,,Россия,,,,11 х 18,140,,,,,Русский
380153,978-5-353-06494-7,https://www.respublica.ru/detyam/detskie-knigi/hudozhestvennaya-literatura/380153-pikovaya-dama,Пушкин Александр Сергеевич,False,,,12+,,,2014,Повести и рассказы,Росмэн,https://www.respublica.ru/uploads/01/00/00/1v/3r/large_b4d107d66ecdd622.jpg,Ясен Гюзелев,Детям; Детские книги; Художественная литература,40,,Пиковая дама,,,Твердая,"Мистическую повесть ""Пиковая дама"" А. С. Пушкин писал по вполне реальному сюжету, прототипами героев стали его знакомые и друзья, а графиней - Наталья Петровна Голицына, фрейлина ""пяти императоров"", кавалерственная дама и мать губернатора Москвы Д. В. Голицына. Повесть проиллюстрировал Ясен Гюзелев - художник из Болгарии, мастер книжной иллюстрации с мировым именем. На счету художника — несколько десятков работ, среди которых такие шедевры, как «Алиса в Стране Чудес», «Дон Кихот», «Оливер Твист» и другие.",,,,,,,,,,,,24 х 34,510,,,,,Русский
380168,978-5-91982-527-2,https://www.respublica.ru/detyam/detskie-knigi/hudozhestvennaya-literatura/380168-kapitanskaya-dochka,Пушкин Александр Сергеевич,False,,,,,,,,Clever,https://www.respublica.ru/uploads/01/00/00/1v/83/large_3fc7bb916d17715d.jpg,,Детям; Детские книги; Художественная литература,,,Капитанская дочка,,,,"Серия ""Живая классика"" издательства Clever представляет новую книгу КАПИТАНСКАЯ ДОЧКА. Книга ориентирована на любознательных учеников, их родителей и всех, кто интересуется великой русской литературой. А с книгой КАПИТАНСКАЯ ДОЧКА Вы точно полюбите классические произведения, которые изучаются в школе. Вы спросите почему? Ответ прост - свежий взгляд на известный текст поможет понять и полюбить такую знакомую и одновременно загадочную КЛАССИКУ. Ведь в книге помимо полного текста романа с классическими иллюстрациями Павла Соколова, впервые напечатанными в 1891 года, Вы найдете живые оригинальные статьи, в которых читатель найдет глубокий анализ жанра и сюжета, яркие подробные характеристики персонажей и исторические комментарии.Детей очень сложно заинтересовать классикой. Именно поэтому нами был выбран подобный формат издания ""Капитанской дочки"" А.С.Пушкина. Сочетание полного текста классического произведения, знакомого родителям, и иллюстраций, также знакомых каждому с детства, делают книгу априори любимой у старшего поколения. А наличие критических статей, рассказывающих о сюжете и героях, поможет правильно понять задумку автора не только школьникам, но и родителям. Также в книге множество иллюстраций, тематических врезов и, представьте себе, заочное интервью с самим Александром Сергеевичем!",,,,,,,,,,,,,320,550,,,,
380256,978-5-389-08689-0,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/380256-smert-ivana-ilicha,Лев Николаевич Толстой,True,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/01/00/00/1v/23/large_1f62ae6fbd051294.jpg,,Книги; Художественная литература; Классическая литература,416,,Смерть Ивана Ильича,,,Мягкая,"Лев Николаевич Толстой, возможно, самый известный российский писатель в мире, непревзойденный прозаик, открывший, по словам В. Набокова, «метод изображения жизни, который точнее всего соответствует нашему представлению о ней. Он — единственный мне известный писатель, чьи часы не отстают и не обгоняют бесчисленные часы его читателей... Проза Толстого течет в такт нашему пульсу, его герои движутся в том же темпе, что прохожие под нашими окнами, пока мы сидим над книгой». Вниманию читателей предлагается собрание повестей и рассказов Л. Н. Толстого, каждый из которых – несомненный шедевр, оказавший беспримерное влияние не только на российскую, но и на зарубежную культуру ХХ века.",,,,Отечественные,,,,Россия,,,,11 х 18,110,130,,,,Русский
380272,978-5-389-08681-4,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/380272-maloe-sobranie-sochineniy,Лев Николаевич Толстой,False,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/00/00/00/1v/1s/large_7841cf012ea04ffd.jpg,,Книги; Художественная литература; Классическая литература,640,,Малое собрание сочинений,,,Твердая,"Лев Николаевич Толстой, возможно, самый известный российский писатель в мире, непревзойденный прозаик, открывший, по словам В. Набокова, «метод изображения жизни, который точнее всего соответствует нашему представлению о ней... Проза Толстого течет в такт нашему пульсу, его герои движутся в том же темпе, что прохожие под нашими окнами, пока мы сидим над книгой». Вниманию читателей предлагается собрание лучших повестей и рассказов Л. Н. Толстого, каждый из которых — несомненный шедевр, оказавший беспримерное влияние не только на российскую, но и на зарубежную культуру ХХ века.",,,,Отечественные,,,,Россия,,,,14 х 21,280,,,,,Русский
380277,978-5-389-06598-7,https://www.respublica.ru/detyam/detskie-knigi/hudozhestvennaya-literatura/380277-roni-doch-razboynika,Астрид Линдгрен,True,,,6+,,,2014,Повести и рассказы,Махаон,https://www.respublica.ru/uploads/00/00/00/1v/e0/large_615145acca1a9766.jpg,Ирина Петелина,Детям; Детские книги; Художественная литература,160,,"Рони, дочь разбойника",,,Твердая,"Повесть-сказка Астрид Линдгрен про девочку Рони, дочь самого могучего разбойничьего атамана всех лесов и гор, и про неведомый мир, в котором все необычно, таинственно и странно.А еще она о приключениях, дружбе и любви.",5.0,,,Зарубежные,,,,,,,,22 х 29,450,505,1,1,,Русский
380344,978-5-17-085312-0,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/380344-mister-mersedes,Стивен Кинг,False,435,,,12+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1u/zi/large_95b7b371fb2c8a77.jpg,,Книги; Художественная литература; Фантастика и фэнтези,480,,Мистер Мерседес,,Мистика,Твердая,"Восемь убитых и пятнадцать раненых на счету бесследно исчезнувшего убийцы, протаранившего на «мерседесе» ни в чем не повинных людей…Стивен Кинг написал триллер, который заставит вас в ужасе оглядываться на каждый проезжающий мимо «мерседес» и совершенно по-другому смотреть на людей, с которыми вы сталкиваетесь каждый день.Кто знает, какие жуткие тайны скрываются за соседней дверью и кто именно хочет свести счеты именно с вами?",,,https://www.respublica.ru/items/251007/download_preview_pdf,Зарубежные,,,Темная башня,Россия,,,,13 х 20,400,,,,,Русский
380345,978-5-17-079701-1,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/380345-serdtsa-v-atlantide,Стивен Кинг,False,,,,,,2013,,АСТ,https://www.respublica.ru/uploads/01/00/00/1u/zj/large_55d8afe839b9add2.jpg,,Книги; Художественная литература; Фантастика и фэнтези,480,,Сердца в Атлантиде,,Мистика,Твердая,"Это — Стивен Кинг, которого вы еще не знали. Это — проза, не бьющая на внешний эффект, временами — почти сказовая, временами — почти постмодернистская. Это — жестокий психологизм и «городская сага», «гиперреализм» и «магический реализм» одновременно. Это — история времени и пространства, пропущенная сквозь призму восприятия жителей маленького американского городка. Это — мы. Наш век, наша жизнь. Без прикрас — и без лакировки. Ибо только в калейдоскопе мелочей, по Кингу, способна сложиться многоцветная картина эпохи...",,,,Зарубежные,,,,Россия,,,,13 х 20,310,,,,,Русский
